"""fish,treatment,speed,MO2"".1","""fish,treatment,speed,MO2"".2","""fish,treatment,speed,MO2"".3","""fish,treatment,speed,MO2"".4"
P11,2_UN,0.75,193.0380952
P21,2_UN,0.75,141.9406667
P22,2_UN,0.75,148.069
P33,2_UN,0.75,92.37333333
P31,2_UN,0.75,153.2333333
P24,2_UN,0.75,84.58433333
P57,2_UN,0.75,114.7986667
P77,2_UN,0.75,170.9306667
P10,1_P,0.75,132.4006667
P12,1_P,0.75,169.85
P15,1_P,0.75,170.8333333
P23,1_P,0.75,165.1583333
P26,1_P,0.75,163.4666667
P27,1_P,0.75,113.1336667
P37,1_P,0.75,130.85
P42,1_P,0.75,175.15
P72,1_P,0.75,140.3006667
P75,1_P,0.75,161.1
P80,3_FUN,0.75,90.44633333
P81,3_FUN,0.75,161.8863333
P109,3_FUN,0.75,124.2613333
P116,3_FUN,0.75,124.2786667
P108,3_FUN,0.75,105.4383333
P135,3_FUN,0.75,143.7313333
P143,3_FUN,0.75,142.973
P132,3_FUN,0.75,133.4373333
P133,3_FUN,0.75,129.621
P144,3_FUN,0.75,167.5646667
P86,4_REM,0.75,68.06066667
P85,4_REM,0.75,121.17897
P88,4_REM,0.75,120.2533333
P90,4_REM,0.75,136.224
P98,4_REM,0.75,134.0983333
P105,4_REM,0.75,147.2576667
P107,4_REM,0.75,139.6156667
P114,4_REM,0.75,116.8816667
P115,4_REM,0.75,123.5806667
P131,4_REM,0.75,113.507
P11,2_UN,1.25,185.7714286
P21,2_UN,1.25,145.5786667
P22,2_UN,1.25,173.4013333
P33,2_UN,1.25,94.399
P31,2_UN,1.25,167.7333333
P24,2_UN,1.25,92.08766667
P57,2_UN,1.25,121.9146667
P77,2_UN,1.25,195.588
P10,1_P,1.25,181.234
P12,1_P,1.25,189.3833333
P15,1_P,1.25,196.5333333
P23,1_P,1.25,205.625
P26,1_P,1.25,177.6333333
P27,1_P,1.25,162.367
P37,1_P,1.25,174.85
P42,1_P,1.25,196.3166667
P72,1_P,1.25,153.9733333
P75,1_P,1.25,194.4
P80,3_FUN,1.25,128.4896667
P81,3_FUN,1.25,174.4306667
P109,3_FUN,1.25,136.5423333
P116,3_FUN,1.25,153.568
P108,3_FUN,1.25,132.73
P135,3_FUN,1.25,157.024
P143,3_FUN,1.25,162.447
P132,3_FUN,1.25,150.7626667
P133,3_FUN,1.25,154.136
P144,3_FUN,1.25,199.2516667
P86,4_REM,1.25,101.3556667
P85,4_REM,1.25,161.89212
P88,4_REM,1.25,142.0293333
P90,4_REM,1.25,150.1976667
P98,4_REM,1.25,169.3866667
P105,4_REM,1.25,183.955
P107,4_REM,1.25,151.321
P114,4_REM,1.25,140.643
P115,4_REM,1.25,167.8143333
P131,4_REM,1.25,184.9553333
P11,2_UN,1.75,193.5047619
P21,2_UN,1.75,171.05
P22,2_UN,1.75,205.9003333
P33,2_UN,1.75,98.39133333
P31,2_UN,1.75,200.7333333
P24,2_UN,1.75,114.391
P57,2_UN,1.75,133.8973333
P77,2_UN,1.75,230.5453333
P10,1_P,1.75,215.5673333
P12,1_P,1.75,216.6166667
P15,1_P,1.75,250.4666667
P23,1_P,1.75,229.725
P26,1_P,1.75,212.6
P27,1_P,1.75,192.1336667
P37,1_P,1.75,208.9166667
P42,1_P,1.75,232.1166667
P72,1_P,1.75,187.2126667
P75,1_P,1.75,214.1
P80,3_FUN,1.75,158.633
P81,3_FUN,1.75,189.9416667
P109,3_FUN,1.75,165.3233333
P116,3_FUN,1.75,188.6906667
P108,3_FUN,1.75,151.8883333
P135,3_FUN,1.75,201.2506667
P143,3_FUN,1.75,259.9876667
P132,3_FUN,1.75,186.8213333
P133,3_FUN,1.75,190.0843333
P144,3_FUN,1.75,242.7053333
P86,4_REM,1.75,121.2506667
P85,4_REM,1.75,159.25863
P88,4_REM,1.75,163.572
P90,4_REM,1.75,183.8713333
P98,4_REM,1.75,185.465
P105,4_REM,1.75,202.8523333
P107,4_REM,1.75,195.093
P114,4_REM,1.75,159.857
P115,4_REM,1.75,172.748
P131,4_REM,1.75,160.6036667
P11,2_UN,2.25,211.6714286
P21,2_UN,2.25,201.1213333
P22,2_UN,2.25,237.766
P33,2_UN,2.25,124.7503333
P31,2_UN,2.25,213.4666667
P24,2_UN,2.25,147.161
P57,2_UN,2.25,166.5133333
P77,2_UN,2.25,240.1026667
P10,1_P,2.25,224.434
P12,1_P,2.25,273.25
P15,1_P,2.25,308.7333333
P23,1_P,2.25,240.5916667
P26,1_P,2.25,244.3666667
P27,1_P,2.25,257.1336667
P37,1_P,2.25,220.7166667
P42,1_P,2.25,289.75
P72,1_P,2.25,218.652
P75,1_P,2.25,218.3333333
P80,3_FUN,2.25,212.1096667
P81,3_FUN,2.25,232.9526667
P109,3_FUN,2.25,169.771
P116,3_FUN,2.25,243.3133333
P108,3_FUN,2.25,168.6133333
P135,3_FUN,2.25,204.0446667
P143,3_FUN,2.25,341.795
P132,3_FUN,2.25,235.48
P133,3_FUN,2.25,220.966
P144,3_FUN,2.25,280.4923333
P86,4_REM,2.25,142.4123333
P85,4_REM,2.25,180.7806
P88,4_REM,2.25,210.448
P90,4_REM,2.25,210.7116667
P98,4_REM,2.25,220.11
P105,4_REM,2.25,241.483
P107,4_REM,2.25,234.2983333
P114,4_REM,2.25,183.5376667
P115,4_REM,2.25,229.615
P131,4_REM,2.25,239.3186667
P11,2_UN,2.75,281.7380952
P21,2_UN,2.75,204.2926667
P22,2_UN,2.75,283.0316667
P33,2_UN,2.75,126.776
P31,2_UN,2.75,260.1333333
P24,2_UN,2.75,198.9976667
P57,2_UN,2.75,209.496
P77,2_UN,2.75,289.96
P10,1_P,2.75,253.934
P12,1_P,2.75,283.35
P15,1_P,2.75,336
P23,1_P,2.75,271.7583333
P26,1_P,2.75,275.4333333
P27,1_P,2.75,375.567
P37,1_P,2.75,273.1166667
P42,1_P,2.75,334.75
P72,1_P,2.75,312.658
P75,1_P,2.75,288.7666667
P80,3_FUN,2.75,242.2863333
P81,3_FUN,2.75,278.6303333
P109,3_FUN,2.75,196.5853333
P116,3_FUN,2.75,303.6693333
P108,3_FUN,2.75,228.0716667
P135,3_FUN,2.75,240.972
P143,3_FUN,2.75,321.8356667
P132,3_FUN,2.75,252.9386667
P133,3_FUN,2.75,281.3143333
P144,3_FUN,2.75,344.846
P86,4_REM,2.75,178.974
P85,4_REM,2.75,208.23549
P88,4_REM,2.75,238.024
P90,4_REM,2.75,245.0853333
P98,4_REM,2.75,245.7883333
P105,4_REM,2.75,273.5136667
P107,4_REM,2.75,286.5036667
P114,4_REM,2.75,205.3183333
P115,4_REM,2.75,305.6153333
P131,4_REM,2.75,238.4336667
P11,2_UN,3.25,433.5380952
P21,2_UN,3.25,235.3306667
P22,2_UN,3.25,457.097
P33,2_UN,3.25,172.2016667
P31,2_UN,3.25,318.4333333
P24,2_UN,3.25,296.8676667
P57,2_UN,3.25,249.6453333
P77,2_UN,3.25,360.7506667
P10,1_P,3.25,336.7673333
P12,1_P,3.25,307.7166667
P15,1_P,3.25,446.6666667
P23,1_P,3.25,379.6916667
P26,1_P,3.25,378.6333333
P37,1_P,3.25,339.2166667
P42,1_P,3.25,377.5833333
P72,1_P,3.25,429.7306667
P75,1_P,3.25,336.4333333
P80,3_FUN,3.25,353.7296667
P81,3_FUN,3.25,406.408
P109,3_FUN,3.25,272.6996667
P116,3_FUN,3.25,507.6253333
P108,3_FUN,3.25,276.8966667
P135,3_FUN,3.25,323.0326667
P143,3_FUN,3.25,450.2763333
P132,3_FUN,3.25,380.364
P133,3_FUN,3.25,312.4626667
P144,3_FUN,3.25,452.8663333
P86,4_REM,3.25,236.169
P85,4_REM,3.25,271.53006
P88,4_REM,3.25,281.2
P90,4_REM,3.25,297.9923333
P98,4_REM,3.25,261
P105,4_REM,3.25,354.9443333
P107,4_REM,3.25,315.4756667
P114,4_REM,3.25,264.3323333
P115,4_REM,3.25,312.4823333
P131,4_REM,3.25,348.782
P11,2_UN,3.75,541.3714286
P21,2_UN,3.75,315.2686667
P33,2_UN,3.75,225.6273333
P31,2_UN,3.75,466
P24,2_UN,3.75,358.281
P57,2_UN,3.75,372.7613333
P77,2_UN,3.75,501.3
P10,1_P,3.75,535.8006667
P12,1_P,3.75,471.45
P15,1_P,3.75,573.084
P26,1_P,3.75,561.9333333
P37,1_P,3.75,534.75
P42,1_P,3.75,494.95
P75,1_P,3.75,434.6
P80,3_FUN,3.75,559.803
P109,3_FUN,3.75,448.7005
P108,3_FUN,3.75,534.9883333
P135,3_FUN,3.75,438.0933333
P132,3_FUN,3.75,598.692
P133,3_FUN,3.75,509.8776667
P144,3_FUN,3.75,561.791
P86,4_REM,3.75,323.0306667
P85,4_REM,3.75,448.88199
P88,4_REM,3.75,415.384
P90,4_REM,3.75,465.8326667
P98,4_REM,3.75,403.645
P105,4_REM,3.75,474.0083333
P107,4_REM,3.75,399.7143333
P114,4_REM,3.75,320.2796667
P115,4_REM,3.75,396.5826667
P131,4_REM,3.75,561.002
P21,2_UN,4.25,459.84
P33,2_UN,4.25,303.3196667
P31,2_UN,4.25,544.2
P57,2_UN,4.25,419.228
P108,3_FUN,4.25,630.0925
P135,3_FUN,4.25,624.005
P86,4_REM,4.25,484.9923333
P90,4_REM,4.25,588.504
P98,4_REM,4.25,480.5233333
P105,4_REM,4.25,572.251
P107,4_REM,4.25,474.229
P114,4_REM,4.25,404.9603333
P115,4_REM,4.25,613.183
P21,2_UN,4.75,524.132
P33,2_UN,4.75,550.6453333
P31,2_UN,4.75,687.8666667
P98,4_REM,4.75,604.62
P114,4_REM,4.75,614.703
